,Unnamed: 0,address,description,sqft,lot_size,bedrooms,bathrooms,half_baths,sale_price,yr_built,town_Archie,town_Belton,town_Cleveland,town_Creighton,town_Drexel,town_East Lynne,town_Freeman,town_Garden City,town_Greenwood,town_Harrisonville,town_Kingsville,town_Lake Winnebago,town_Lees Summit,town_Loch Lloyd,town_Peculiar,town_Pleasant Hill,town_Raymore,town_Strasburg
0,0,"210 Sitter Street Pleasant Hill, MO 64080","4Bedrms2Full Bath(s)0Half Bath(s)1,848Sqft Built in19500.27Acres Single Family",1848,0.27,4,2,0,15000,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,"115 S Campbell Street Pleasant Hill, MO 64080","2Bedrms2Full Bath(s)0Half Bath(s)1,397SqftBuilt in19200.24AcresSingle Family",1397,0.2,2,2,0,18500,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,"115 S Campbell Street Pleasant Hill, MO 64080","2Bedrms2Full Bath(s)0Half Bath(s)1,397SqftBuilt in19200.24AcresSingle Family",1397,0.2,2,2,0,19500,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3,"201 N State Route E Highway Strasburg, MO 64080","2Bedrms1Full Bath(s)0Half Bath(s)1,088SqftBuilt in18360.5AcresSingle Family",1088,0.5,2,1,0,19500,1836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,4,"204 N Missouri Street Archie, MO 64725","2Bedrms1Full Bath(s)0Half Bath(s)1,176SqftBuilt in1971Single Family",1176,0.2,2,1,0,27200,1971,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,"502 W Mill Street Strasburg, MO 64090","2Bedrms1Full Bath(s)0Half Bath(s)1,200SqftBuilt in1920Single Family",1200,0.2,2,1,0,28000,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,6,"32102 State Route B HighwayGarden City, MO 64747","2Bedrms1Full Bath(s)0Half Bath(s)1,082SqftBuilt in18805.3AcresSingle Family",1082,5.0,2,1,0,31501,1880,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,7,"6000 E 187th StreetBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)760SqftBuilt in19421.5AcresSingle Family,760,21.0,2,1,0,34900,1942,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,"121 E Sunrise DriveBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,150SqftBuilt in1965Single Family",1150,0.2,3,2,0,35000,1965,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,"709 S Park AvenueGarden City, MO 64747",2Bedrms1Full Bath(s)0Half Bath(s)792SqftBuilt in1964Single Family,792,0.2,2,1,0,36000,1964,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,10,"202 S Halsey AvenueHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)1,600SqftBuilt in1920Single Family",1600,0.25,3,2,0,50000,1920,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,11,"1700 N Lexington StreetHarrisonville, MO 64701","3Bedrms1Full Bath(s)0Half Bath(s)1,305SqftBuilt in1940Single Family",1305,0.2,3,1,0,50000,1940,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,12,"405 E 164th TerraceBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)740SqftBuilt in19400.34AcresSingle Family,740,0.34,2,1,0,50000,1940,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,"216 S Adams StreetRaymore, MO 64083","3Bedrms1Full Bath(s)1Half Bath(s)1,708SqftBuilt in19000.4AcresSingle Family",1708,0.4,3,1,1,55000,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,15,"205 W North AvenueBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)724SqftBuilt in19400.38AcresSingle Family,724,0.4,2,1,0,57000,1940,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,"206 HoldenEast Lynne, MO 64743","2Bedrms2Full Bath(s)0Half Bath(s)1,050SqftBuilt in1940Single Family",1050,0.2,2,2,0,59000,1940,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,17,"204 S Lyne StreetRaymore, MO 64083",3Bedrms1Full Bath(s)1Half Bath(s)924SqftBuilt in1976Single Family,924,0.2,3,1,1,60000,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,18,"113 King AvenueBelton, MO 64012",3Bedrms1Full Bath(s)0Half Bath(s)925SqftBuilt in1910Single Family,925,0.2,3,1,0,60000,1910,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,"1109 S Lexington StreetHarrisonville, MO 64701","3Bedrms1Full Bath(s)1Half Bath(s)1,468SqftBuilt in1920Single Family",1468,0.2,3,1,1,60000,1920,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,20,"24811 S King RoadPeculiar, MO 64078","5Bedrms3Full Bath(s)0Half Bath(s)1,620SqftBuilt in19911AcresSingle Family",1620,0.2,5,3,0,60100,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,21,"321 N Independence StreetPleasant Hill, MO 64080","3Bedrms2Full Bath(s)0Half Bath(s)1,277SqftBuilt in0Single Family",1277,0.2,3,2,0,64000,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,22,"219 S Randolph StreetPleasant Hill, MO 64080",3Bedrms1Full Bath(s)0Half Bath(s)886SqftBuilt in1920Single Family,886,0.2,3,1,0,65000,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,23,"115 Spencer StreetPeculiar, MO 64078","3Bedrms2Full Bath(s)0Half Bath(s)1,622SqftBuilt in19640.66AcresSingle Family",1622,0.66,3,2,0,65000,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,24,"16202 S Scott RoadPleasant Hill, MO 64080",2Bedrms1Full Bath(s)0Half Bath(s)924SqftBuilt in19832AcresSingle Family,924,2.0,2,1,0,65000,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,25,"704 2nd StreetBelton, MO 64012","3Bedrms1Full Bath(s)0Half Bath(s)1,108SqftBuilt in1920Single Family",1108,0.2,3,1,0,66000,1920,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,"306 N Monroe StreetEast Lynne, MO 64743",3Bedrms2Full Bath(s)0Half Bath(s)Built in1972Single Family,1105,0.2,3,2,0,66000,1972,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,27,"700 Locust StreetPleasant Hill, MO 64080","3Bedrms1Full Bath(s)0Half Bath(s)1,267SqftBuilt in18700.2AcresSingle Family",1267,0.2,3,1,0,66000,1870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,28,"306 Cline StreetPleasant Hill, MO 64080",2Bedrms1Full Bath(s)0Half Bath(s)572SqftBuilt in1950Single Family,572,0.2,2,1,0,67750,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,29,"1301 S Butler DriveHarrisonville, MO 64701",3Bedrms1Full Bath(s)0Half Bath(s)864SqftBuilt in1955Single Family,864,0.2,3,1,0,69500,1955,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,30,"23610 E 175th StreetPleasant Hill, MO 64080","2Bedrms2Full Bath(s)0Half Bath(s)1,526SqftBuilt in19204AcresSingle Family",1526,4.0,2,2,0,69750,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,31,"501 S 5th StreetGarden City, MO 64747",2Bedrms1Full Bath(s)0Half Bath(s)972SqftBuilt in1890Single Family,972,0.2,2,1,0,70500,1890,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,32,"615 N 2nd StreetCreighton, MO 64739",2Bedrms1Full Bath(s)0Half Bath(s)720SqftBuilt in1960Single Family,720,0.2,2,1,0,71000,1960,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,"17228 Monte Verde DriveBelton, MO 64012",3Bedrms1Full Bath(s)0Half Bath(s)940SqftBuilt in1958Single Family,940,0.2,3,1,0,71000,1958,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,"1107 Green StreetHarrisonville, MO 64701","2Bedrms1Full Bath(s)0Half Bath(s)1,698SqftBuilt in1906Single Family",1698,0.25,2,1,0,72000,1906,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,36,"209 Fir StreetGarden City, MO 64747",3Bedrms1Full Bath(s)1Half Bath(s)863SqftBuilt in1915Single Family,863,0.2,3,1,1,72000,1915,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,37,"614 C StreetBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)675SqftBuilt in1930Single Family,675,0.2,2,1,0,73000,1930,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,"305 Catron AvenueBelton, MO 64012",3Bedrms2Full Bath(s)0Half Bath(s)912SqftBuilt in1952Single Family,912,0.2,3,2,0,75000,1952,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,"504 W 5th CourtPeculiar, MO 64078","3Bedrms1Full Bath(s)0Half Bath(s)1,263SqftBuilt in1981Single Family",1263,0.2,3,1,0,75000,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,40,"210 Spruce StreetGarden City, MO 64747",2Bedrms1Full Bath(s)0Half Bath(s)840SqftBuilt in1925Single Family,840,0.2,2,1,0,75000,1925,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,41,"204 S JeffersonEast Lynne, MO 64743","3Bedrms3Full Bath(s)0Half Bath(s)1,675SqftBuilt in19890.42AcresSingle Family",1675,0.42,3,3,0,76000,1989,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,42,"16013 Eastern AvenueBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)816SqftBuilt in1960Single Family,816,0.2,2,1,0,76000,1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,"320 E Maple StreetDrexel, MO 64742","3Bedrms1Full Bath(s)0Half Bath(s)1,484SqftBuilt in1960Single Family",1484,0.2,3,1,0,76000,1960,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,"17406 Chestnut StreetBelton, MO 64012","3Bedrms1Full Bath(s)1Half Bath(s)1,200SqftBuilt in1960Single Family",1200,0.2,3,1,1,77000,1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,"912 2nd StreetBelton, MO 64012",3Bedrms1Full Bath(s)0Half Bath(s)971SqftBuilt in1948Single Family,971,0.2,3,1,0,77500,1948,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,"8405 Heron DriveFreeman, MO 64746",2Bedrms1Full Bath(s)0Half Bath(s)888SqftBuilt in1965Single Family,888,0.2,2,1,0,78400,1965,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,47,"16101 Hinkle AvenueBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s) 1072sqftBuilt in1978.36acresSingle Family,1072,0.56,2,1,0,78645,1978,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,"503 Gum StreetGarden City, MO 64747","3Bedrms2Full Bath(s)0Half Bath(s)1,064SqftBuilt in1989Single Family",1064,0.2,3,2,0,80000,1989,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,49,"802 S Ash StreetGarden City, MO 64747","3Bedrms1Full Bath(s)0Half Bath(s)1,080SqftBuilt in1979Single Family",1080,0.2,3,1,0,80000,1979,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,50,"204 Chappell DrivePleasant Hill, MO 64080","3Bedrms2Full Bath(s)0Half Bath(s)1,236SqftBuilt in1963Single Family",1236,0.2,3,2,0,80000,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,51,"2203 Addie DrivePleasant Hill, MO 64080","3Bedrms2Full Bath(s)0Half Bath(s)1,106SqftBuilt in2005Single Family",1106,0.2,3,2,0,81000,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,52,"306 W Walnut StreetArchie, MO 64725",2Bedrms1Full Bath(s)0Half Bath(s)791SqftBuilt in1930Single Family,791,0.2,2,1,0,83500,1930,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,"405 E Pearl StreetHarrisonville, MO 64701","2Bedrms1Full Bath(s)1Half Bath(s)1,210SqftBuilt in1945Single Family",1210,0.2,2,1,1,85000,1945,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,56,"505 Silverado TrailBelton, MO 64012","2Bedrms1Full Bath(s)0Half Bath(s)1,676SqftBuilt in1960Single Family",1676,0.25,2,1,0,85000,1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,"1002 Eastwood RoadHarrisonville, MO 64701","3Bedrms1Full Bath(s)0Half Bath(s)1,169SqftBuilt in1957Single Family",1169,0.2,3,1,0,85000,1957,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58,58,"203 S Washington StreetRaymore, MO 64083",2Bedrms1Full Bath(s)0Half Bath(s)978SqftBuilt in19000.4AcresSingle Family,978,0.4,2,1,0,86000,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,59,"17120 Chula Vista DriveBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)720SqftBuilt in1960Single Family,720,0.2,2,1,0,86500,1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,"307 3rd StreetBelton, MO 64012","3Bedrms1Full Bath(s)0Half Bath(s)1,448SqftBuilt in1900Single Family",1448,0.2,3,1,0,86735,1900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,"21523 S Dillon RoadPleasant Hill, MO 64080","3Bedrms2Full Bath(s)0Half Bath(s)2,332SqftBuilt in19105AcresSingle Family",2332,5.0,3,2,0,87000,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,62,"22505 S Airport RoadPleasant Hill, MO 64080","4Bedrms1Full Bath(s)1Half Bath(s)1,753SqftBuilt in19002.41AcresSingle Family",1753,2.4,4,1,1,87500,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,63,"904 Edgevale TerraceHarrisonville, MO 64701",2Bedrms1Full Bath(s)0Half Bath(s)960SqftBuilt in1951Single Family,960,0.2,2,1,0,88500,1951,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,65,"930 E Oak StreetPleasant Hill, MO 64080","3Bedrms2Full Bath(s)0Half Bath(s)1,056SqftBuilt in1994Single Family",1056,0.2,3,2,0,90000,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,66,"305 W Washington StreetHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)1,686SqftBuilt in1930Single Family",1686,0.25,3,2,0,90000,1930,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
67,67,"508 Lions Drive #167Peculiar, MO 64078","3Bedrms1Full Bath(s)1Half Bath(s)1,008SqftBuilt in1983Single Family",1008,0.2,3,1,1,90000,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68,68,"1101 N Jerry AvenueRaymore, MO 64083","3Bedrms2Full Bath(s)0Half Bath(s)1,248SqftBuilt in19811.1AcresSingle Family",1248,1.1,3,2,0,91000,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,70,"201 N Ohio StreetArchie, MO 64725",2Bedrms1Full Bath(s)0Half Bath(s)832SqftBuilt in1945Single Family,832,0.2,2,1,0,92000,1945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,"903 2nd StreetBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)952SqftBuilt in1940Single Family,952,0.2,2,1,0,92500,1940,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,"38608 E Gunn City RoadGarden City, MO 64747","4Bedrms2Full Bath(s)0Half Bath(s)2,081SqftBuilt in19945AcresSingle Family",2081,5.0,4,2,0,94900,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,73,"17104 Monte Verde DriveBelton, MO 64012",3Bedrms1Full Bath(s)0Half Bath(s)760SqftBuilt in1957Single Family,760,0.2,3,1,0,95000,1957,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,74,"304 Baldwin StreetBelton, MO 64012",3Bedrms1Full Bath(s)1Half Bath(s)888SqftBuilt in1955Single Family,888,0.2,3,1,1,95000,1955,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,"37107 E 179th StreetPleasant Hill, MO 64080","3Bedrms2Full Bath(s)0Half Bath(s)1,296SqftBuilt in1964Single Family",1296,0.2,3,2,0,95000,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,78,"3 Eavey CircleHarrisonville, MO 64701","2Bedrms1Full Bath(s)0Half Bath(s)1,544SqftBuilt in1955Single Family",1544,0.25,2,1,0,97000,1955,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,79,"16005 Speaker AvenueBelton, MO 64012",3Bedrms2Full Bath(s)0Half Bath(s) 1664sqftBuilt in1972.35AcresSingle Family,1664,0.35,3,2,0,97500,1972,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,"700 West StreetHarrisonville, MO 64701",2Bedrms1Full Bath(s)0Half Bath(s)884SqftBuilt in19000.25AcresSingle Family,884,0.25,2,1,0,97900,1900,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,81,"703 Green StreetHarrisonville, MO 64701","2Bedrms2Full Bath(s)0Half Bath(s)1,232SqftBuilt in1940Single Family",1232,0.2,2,2,0,98000,1940,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83,83,"604 Jennifer LaneGarden City, MO 64747","3Bedrms1Full Bath(s)1Half Bath(s)1,400SqftBuilt in1973Single Family",1400,0.2,3,1,1,99800,1973,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,84,"17249 Chestnut DriveBelton, MO 64012",4Bedrms1Full Bath(s)0Half Bath(s)912SqftBuilt in1980Single Family,912,0.2,4,1,0,100000,1980,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85,"104 W 4th StreetFreeman, MO 64746",2Bedrms1Full Bath(s)0Half Bath(s)791SqftBuilt in19500.39AcresSingle Family,791,0.39,2,1,0,100000,1950,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86,86,"302 N Jeffreys StreetPleasant Hill, MO 64080","4Bedrms1Full Bath(s)0Half Bath(s)1,692SqftBuilt in1883Single Family",1692,0.25,4,1,0,101500,1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87,87,"305 Spruce StreetGarden City, MO 64747","2Bedrms1Full Bath(s)0Half Bath(s)1,100SqftBuilt in1930Single Family",1100,0.2,2,1,0,102000,1930,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
88,88,"102 Holden StreetEast Lynne, MO 64743","4Bedrms2Full Bath(s)0Half Bath(s)1,508SqftBuilt in19350.28AcresSingle Family",1508,0.28,4,2,0,102500,1935,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89,89,"34411 S Butcher RoadArchie, MO 64725","1Bedrms1Full Bath(s)0Half Bath(s)1,220SqftBuilt in19825AcresSingle Family",1220,5.0,1,1,0,103000,1982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90,"400 N Harrison StreetFreeman, MO 64746","2Bedrms1Full Bath(s)0Half Bath(s)1,327SqftBuilt in19000.35AcresSingle Family",1327,0.35,2,1,0,103000,1900,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,91,"709 S Oakland StreetHarrisonville, MO 64701",3Bedrms2Full Bath(s)0Half Bath(s)928SqftBuilt in1915Single Family,928,0.2,3,2,0,103000,1915,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92,92,"1403 Blueberry DriveHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)1,490SqftBuilt in1970Single Family",1490,0.2,3,2,0,103000,1970,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
93,93,"400 E Chestnut StreetHarrisonville, MO 64701","2Bedrms2Full Bath(s)0Half Bath(s)1,224SqftBuilt in19130.3AcresSingle Family",1224,0.3,2,2,0,105000,1913,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
94,94,"210 N Ohio StreetArchie, MO 64725",2Bedrms1Full Bath(s)0Half Bath(s)988SqftBuilt in19790.34AcresSingle Family,988,0.34,2,1,0,105000,1979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,95,"201 Gale StreetBelton, MO 64012","3Bedrms2Full Bath(s)1Half Bath(s)1,675SqftBuilt in19550.28AcresSingle Family",1675,0.28,3,2,1,105000,1955,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,96,"31900 S McClain RoadHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)1,232SqftBuilt in199320.31AcresSingle Family",1232,0.31,3,2,0,105000,1993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
97,97,"17605 Montgall DriveBelton, MO 64012","3Bedrms1Full Bath(s)1Half Bath(s)1,152SqftBuilt in1960Single Family",1152,0.2,3,1,1,106500,1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,98,"507 3 StreetBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)896SqftBuilt in1918Single Family,896,0.2,2,1,0,107000,1918,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,99,"105 E South StreetHarrisonville, MO 64701",2Bedrms1Full Bath(s)0Half Bath(s)684SqftBuilt in1955Single Family,684,0.2,2,1,0,107000,1955,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100,100,"207 Colony AvenueEast Lynne, MO 64743","3Bedrms2Full Bath(s)0Half Bath(s)1,276SqftBuilt in2003Single Family",1276,0.2,3,2,0,107000,2003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101,101,"16105 Terry AvenueBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)810SqftBuilt in19780.34AcresSingle Family,810,0.34,2,1,0,107700,1978,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,102,"34809 E 315th StreetGarden City, MO 64747","3Bedrms2Full Bath(s)0Half Bath(s)1,404SqftBuilt in20004.7AcresSingle Family",1404,4.7,3,2,0,108000,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
103,103,"309 Grand StreetBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,352SqftBuilt in1960Single Family",1352,0.2,3,2,0,108150,1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,104,"17205 Chula Vista DriveBelton, MO 64012","3Bedrms1Full Bath(s)0Half Bath(s)1,530SqftBuilt in19610.46AcresSingle Family",1530,0.46,3,1,0,108600,1961,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,105,"1700 Lee LanePleasant Hill, MO 64080","3Bedrms1Full Bath(s)1Half Bath(s)1,080SqftBuilt in1960Single Family",1080,0.2,3,1,1,109000,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,106,"105 W 4th StreetPeculiar, MO 64078","3Bedrms2Full Bath(s)0Half Bath(s)1,008SqftBuilt in1985Single Family",1008,0.2,3,2,0,109300,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
107,107,"408 Lexington RoadPleasant Hill, MO 64080","3Bedrms2Full Bath(s)1Half Bath(s)1,152SqftBuilt in1960Single Family",1152,0.2,3,2,1,109500,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
109,109,"304 Grand StreetBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,352SqftBuilt in1960Single Family",1352,0.2,3,2,0,109900,1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,110,"200 N Lake AvenueHarrisonville, MO 64701",2Bedrms1Full Bath(s)0Half Bath(s)954SqftBuilt in1950Single Family,954,0.2,2,1,0,110000,1950,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111,111,"313 N Jeffreys StreetPleasant Hill, MO 64080","2Bedrms1Full Bath(s)0Half Bath(s)1,120SqftBuilt in1900Single Family",1120,0.2,2,1,0,110000,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
112,112,"302 S Washington StreetRaymore, MO 64083","2Bedrms1Full Bath(s)0Half Bath(s)1,107SqftBuilt in1951Single Family",1107,0.2,2,1,0,110000,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
113,113,"112 Monroe AvenueBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,242SqftBuilt in1978Single Family",1242,0.2,3,2,0,110000,1978,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,114,"207 Brookside DriveBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,112SqftBuilt in1963Single Family",1112,0.2,3,2,0,110000,1963,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,115,"34100 E 189th StreetPleasant Hill, MO 64080","3Bedrms2Full Bath(s)0Half Bath(s)1,320SqftBuilt in19925AcresSingle Family",1320,5.0,3,2,0,110000,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
116,116,"704 N 3rd StreetDrexel, MO 64742","3Bedrms1Full Bath(s)1Half Bath(s)1,316SqftBuilt in1966Single Family",1316,0.2,3,1,1,110000,1966,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118,118,"200 Westside DriveBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,580SqftBuilt in19600.23AcresSingle Family",1580,0.23,3,2,0,112000,1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,119,"206 N Taylor StreetPleasant Hill, MO 64080","3Bedrms1Full Bath(s)0Half Bath(s)1,250SqftBuilt in1883Single Family",1250,0.2,3,1,0,112000,1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
120,120,"423 E Ash StreetDrexel, MO 64742","3Bedrms2Full Bath(s)0Half Bath(s)1,218SqftBuilt in1965Single Family",1218,0.2,3,2,0,112000,1965,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
121,121,"1807 Stacy RoadHarrisonville, MO 64701","3Bedrms1Full Bath(s)0Half Bath(s)1,004SqftBuilt in1990Single Family",1004,0.2,3,1,0,112500,1990,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
